the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.8960701787 42.957983473422, -78.895199156778 42.957553525165, -78.893669168518 42.956774440254))",2591,477774060,100,198,99,199,Evelyn Street,,12,A41,5,25,14207,14207,237.74148283633198
"MULTILINESTRING ((-78.808551114275 42.88975950396, -78.808544138282 42.890397474424, -78.808487085324 42.892450436987))",955,477792426,182,276,181,277,Longnecker Street,,12,A41,5,25,14206,14206,299.2234555904875
"MULTILINESTRING ((-78.844197183503 42.907352436014, -78.844280161105 42.907160476889, -78.844422091287 42.906886491804, -78.8446061097 42.906568503304))",6150,477787607,,,1101,1199,Humboldt Parkway,,12,A30,4,35,14208,14208,93.410063669180744
"MULTILINESTRING ((-78.892948146796 42.961319469082, -78.892991220976 42.961343482258, -78.89325621661 42.961385506456))",2516,477772602,,,1987,1999,Kenmore Avenue,550,02,A35,4,35,14207,14207,26.554396944267619
"MULTILINESTRING ((-78.823904192812 42.866566451351, -78.82337113064 42.866362426395))",11112,477798481,1512,1520,1513,1527,Seneca Street,16,01,A31,4,35,14210,14210,49.143463451257297
"MULTILINESTRING ((-78.877755142728 42.886852494803, -78.877659177874 42.886792453834, -78.877612218555 42.886748487845, -78.877565189863 42.886701462919, -78.877532123705 42.886654504589, -78.877508115902 42.886607509104, -78.877501169127 42.886590457567, -78.877484115056 42.886525488851))",7780,511383790,,,,,Niagara Square,384,01,A62,3,35,14202,14202,43.804163736658808
"MULTILINESTRING ((-78.888832186233 42.895989443088, -78.890153128857 42.897391484161, -78.89032617659 42.897572512046))",9105,477790512,388,456,389,457,7th Street,,12,A40,5,25,14201,14201,214.23276010792077
"MULTILINESTRING ((-78.82268018624 42.840467446235, -78.822682161154 42.840497452953))",11467,477801682,,,,,Connecting Road,,12,A60,5,25,14220,14220,3.340014970808667
"MULTILINESTRING ((-78.905488190228 42.940835459144, -78.90456713618 42.941209517219))",2842,477777844,36,48,37,49,Hertel Avenue,,12,A31,4,35,14207,14207,85.969009532393713
"MULTILINESTRING ((-78.868583125448 42.948676454301, -78.868589160503 42.948739455922))",3412,477827440,2362,2368,2361,2361,Delaware Avenue,384,01,A31,3,35,14216,14216,7.022058103346487
"MULTILINESTRING ((-78.812110191276 42.913291445035, -78.811637083313 42.913481444132))",1296,477786001,1890,1902,1891,1905,Genesee Street,,12,A31,4,35,14211,14211,44.056769059833258
"MULTILINESTRING ((-78.8978842203 42.929788484851, -78.899310195336 42.930913476725))",9407,477828608,1654,1706,1655,1707,Niagara Street,266,01,A31,4,35,14207,14207,170.93583269730007
"MULTILINESTRING ((-78.90342719551 42.942782498698, -78.903705128367 42.943326461756, -78.903878114886 42.94369348519))",2880,477777390,2,34,1,33,Hartman Place,,12,A41,5,25,14207,14207,107.78669239359404
"MULTILINESTRING ((-78.84490012767 42.905290437121, -78.845725187319 42.903823434686))",6134,477788283,,,,,State Route 33,33,01,A15,2,65,14211,14208,176.49378147649634
"MULTILINESTRING ((-78.804235118385 42.850655442255, -78.80369411886 42.850191467499))",502,477800564,2306,2332,2305,2323,Seneca Street,16,01,A31,4,35,14210,14210,67.966133478581142
"MULTILINESTRING ((-78.806880168203 42.94420652551, -78.806886127177 42.944956518468))",2256,477777031,336,360,337,361,Orleans Street,,12,A41,5,25,14215,14215,83.384929693855
"MULTILINESTRING ((-78.909625452587 42.945692865122, -78.909620671076 42.945692750484, -78.909615982112 42.945691807287, -78.909611528169 42.94569006419, -78.909607444577 42.945687574155, -78.909603855414 42.945684412841, -78.909600869735 42.945680676303, -78.909598578258 42.945676478074, -78.909597050609 42.945671945714, -78.909596333204 42.945667216937, -78.909596447841 42.945662435425, -78.909597391038 42.945657746462, -78.909599134136 42.945653292519, -78.90960162417 42.945649208927, -78.909604785484 42.945645619764, -78.909608522023 42.945642634085, -78.909612720252 42.945640342608, -78.909617252612 42.945638814959, -78.909621981388 42.945638097554, -78.9096267629 42.945638212191, -78.909631451863 42.945639155388, -78.909635905806 42.945640898485, -78.909639989398 42.94564338852, -78.909643578561 42.945646549834, -78.909646564241 42.945650286372, -78.909648855717 42.945654484602, -78.909650383367 42.945659016962, -78.909651100772 42.945663745738, -78.909650986134 42.94566852725, -78.909650042938 42.945673216213, -78.90964829984 42.945677670156, -78.909645809805 42.945681753748, -78.909642648491 42.945685342911, -78.909638911953 42.94568832859, -78.909634713724 42.945690620067, -78.909630181364 42.945692147717, -78.909625452587 42.945692865122))",12053,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.810713183424 42.873359440259, -78.809667141215 42.873351444752))",704,477796688,50,76,49,75,Rejtan Street,,12,A41,5,25,14206,14206,85.54253737166998
"MULTILINESTRING ((-78.839241099025 42.934557480713, -78.836355193727 42.934511486768, -78.835009168843 42.934486515948))",4304,477779369,2,110,1,111,Wakefield Avenue,,12,A41,5,25,14214,14214,345.81081373987018
"MULTILINESTRING ((-78.900417161422 42.90654350805, -78.90039321465 42.906639494273, -78.900221226801 42.907432466136, -78.900208198266 42.907538434028, -78.900202141203 42.907605448143, -78.900198107717 42.907673473656, -78.90020216975 42.907780479068, -78.900205183389 42.907884458994, -78.900213117204 42.907965491682))",8860,493141778,868,898,,,Busti Avenue,,12,A35,3,35,14213,14213,159.49708477278048
"MULTILINESTRING ((-78.838274140742 42.958412517378, -78.83827214389 42.958441486318))",3791,477773624,,,,,Klauder Road,,03,A41,5,25,14216,14216,3.224934107811089
"MULTILINESTRING ((-78.848626170887 42.87434348945, -78.847012192407 42.874063503283))",10757,477796546,774,810,773,809,Exchange Street,,12,A41,4,25,14210,14210,135.60240890217176
"MULTILINESTRING ((-78.820433079186 42.843653464908, -78.817473139088 42.843619437885, -78.815130124579 42.843585458269, -78.814976143831 42.843594467981))",11430,477801272,86,232,87,231,Whitfield Avenue,,12,A41,5,25,14220,14220,446.55281041003764
"MULTILINESTRING ((-78.820446104281 42.85670549353, -78.819737163992 42.856176438127))",11330,477799780,88,114,87,113,Cumberland Avenue,,12,A41,5,25,14220,14220,82.597818978226442
"MULTILINESTRING ((-78.877466721926 42.877288306402, -78.878157469056 42.877518096312))",10014,600061548,16,46,17,47,Marine Drive,,12,A31,5,35,14202,14202,61.992579329970219
"MULTILINESTRING ((-78.804000078152 42.839972477971, -78.80390618404 42.84000747545))",179,477801761,,,,,Narragansett Road,,12,A41,5,25,14220,14220,8.61127748942619
"MULTILINESTRING ((-78.799898081468 42.871740476852, -78.799840126789 42.874423466506, -78.799850175259 42.874740426606))",853,477797108,2,198,1,199,Cochrane Street,,12,A40,4,25,14206,14206,333.57409391357567
"MULTILINESTRING ((-78.817322167018 42.939406473338, -78.816515193189 42.939400466527, -78.814158200773 42.939411521578, -78.813638110984 42.939411497669))",2065,477778233,2,98,1,99,Thornton Avenue,,12,A40,5,25,14215,14215,300.94206417596479
"MULTILINESTRING ((-78.883509100411 42.890322491397, -78.88366812504 42.890489510132))",7739,477792330,,,,,7th Street,,12,A41,5,25,14201,14201,22.668467085613809
"MULTILINESTRING ((-78.818399139024 42.93774748852, -78.817356105184 42.93773451681))",2044,477778557,138,172,137,171,Hutchinson Avenue,,12,A41,5,25,14215,14215,85.215600684286485
"MULTILINESTRING ((-78.847112100393 42.83232245691, -78.847271129132 42.832639441923))",11750,507666962,,,,,Hanna Drive,,12,A41,5,25,14218,14218,37.568232590674022
"MULTILINESTRING ((-78.86226610048 42.917779494614, -78.862256179176 42.918676510193, -78.862227141694 42.919808448335, -78.862211193497 42.920683518238))",5263,477784812,6,118,5,119,Harvard Place,,12,A41,5,25,14209,14209,322.91110617083348
"MULTILINESTRING ((-78.883388188605 42.908035473389, -78.882356197131 42.90856249158))",8347,477787297,490,518,487,517,Connecticut Street,,12,A31,4,35,14213,14213,102.7013690272866
"MULTILINESTRING ((-78.838097158179 42.889690451967, -78.837087154223 42.889695455556))",6621,477792458,288,312,287,311,Paderewski Drive,,12,A41,5,25,14212,14212,82.572417913013169
"MULTILINESTRING ((-78.810559087305 42.917028490336, -78.808799096217 42.917022498841))",1433,477784959,90,120,85,121,Kerns Avenue,,12,A41,5,25,14211,14211,143.81933805998798
"MULTILINESTRING ((-78.849837167809 42.944076447157, -78.849928193076 42.944097511165, -78.850337210428 42.944198440904))",4514,477827538,176,192,,,Linden Avenue,,12,A41,5,25,14216,14216,43.038435507900687
"MULTILINESTRING ((-78.829797133649 42.906202508456, -78.829017097977 42.906511447094))",6002,477787700,1346,1370,1345,1365,Genesee Street,,12,A31,4,35,14211,14211,72.416507786618382
"MULTILINESTRING ((-78.845566166647 42.865809504933, -78.845689174957 42.865620429555, -78.845921087846 42.865332430485, -78.846120094023 42.865123510732))",10604,477798680,,,,,Parking Lot,,10,A75,5,15,14210,14210,88.883193174261748
"MULTILINESTRING ((-78.800068111964 42.871744459385, -78.799898081468 42.871740476852))",855,477797109,2066,2068,2059,2067,Clinton Street,354,01,A31,3,35,14206,14206,13.91121130601173
"MULTILINESTRING ((-78.821895118607 42.872783492981, -78.820868084955 42.872391493349, -78.820117098257 42.872104428663, -78.819981084755 42.872072508126))",10988,477796979,1480,1534,1443,1529,Clinton Street,354,01,A31,3,35,14206,14206,175.50474807406806
"MULTILINESTRING ((-78.905032141123 42.948375492948, -78.904735216393 42.948701485832))",2787,477776151,120,132,115,125,Ontario Street,,12,A31,4,35,14207,14207,43.611174026857888
"MULTILINESTRING ((-78.828572186751 42.865353446675, -78.827831151193 42.865218443271))",11062,514478075,700,716,701,709,Elk Street,,12,A31,4,35,14210,14210,62.436224261339383
"MULTILINESTRING ((-78.860427837568 42.846086905862, -78.860210375037 42.846133361044, -78.860121032176 42.846154241143, -78.860057600933 42.846175443817, -78.860024985384 42.846187115461))",11628,800002723,,,,,Bicycle Route 517,,12,A76,4,5,14203,14203,34.861452311446918
"MULTILINESTRING ((-78.866911102748 42.93411751594, -78.86719716074 42.93398745854, -78.867300182931 42.933920496824, -78.867393204381 42.933803452663, -78.867441151628 42.933696487053, -78.867449213123 42.93354747314, -78.867406141062 42.93341351482, -78.867314189799 42.9332914745, -78.867182205039 42.933191497081, -78.867030164861 42.933123440862, -78.866947180334 42.933099507344, -78.866743132968 42.933079489212, -78.866626116358 42.933083447729, -78.86643111017 42.933131461295, -78.866323104415 42.933179502949, -78.866185135968 42.933271505636, -78.866094116258 42.933377496601, -78.866082143765 42.933405452883, -78.866036215155 42.933509468473, -78.865990104043 42.933792483824))",4803,516218595,,,,,Ramp,,01,A63,3,45,14222,14222,280.78541031771442
"MULTILINESTRING ((-78.858661220573 42.958674516029, -78.859657156282 42.958673481906, -78.861570096213 42.958679456544))",3633,477773484,1098,1172,1101,1175,Kenmore Avenue,307,02,A31,4,35,14216,14217,237.54745816614687
"MULTILINESTRING ((-78.893928167029 42.961603462888, -78.893739131153 42.961832473612, -78.893679146311 42.961944451843, -78.893656136997 42.96206345374, -78.893618112749 42.962115529761))",2526,477827776,86,98,,,Dunston Avenue,,12,A35,4,35,14207,14207,63.089889573911023
"MULTILINESTRING ((-78.813625091443 42.937973494899, -78.812991119419 42.938230452559))",2076,477778494,1122,1126,1099,1127,Kensington Avenue,,12,A31,4,35,14215,14215,59.144712358962636
"MULTILINESTRING ((-78.881941119887 42.902310453411, -78.881946131294 42.902150467241, -78.881992164257 42.902025462984, -78.881980166519 42.901949518907))",7992,515370116,,,,,Pennsylvania Street,,12,A35,4,35,14201,14201,40.691819267277801
"MULTILINESTRING ((-78.808949242237 42.95900072895, -78.808944460837 42.959000606651, -78.808939773315 42.958999655929, -78.808935322098 42.958997905671, -78.808931242434 42.958995409057, -78.808927658281 42.958992241947, -78.808924678543 42.95898850057, -78.808922393757 42.958984298607, -78.808920873346 42.958979763733, -78.808920163505 42.958975033736, -78.808920285804 42.958970252337, -78.808921236526 42.958965564815, -78.808922986784 42.958961113597, -78.808925483398 42.958957033933, -78.808928650508 42.958953449781, -78.808932391885 42.958950470043, -78.808936593848 42.958948185257, -78.808941128722 42.958946664845, -78.808945858718 42.958945955005, -78.808950640118 42.958946077303, -78.80895532764 42.958947028026, -78.808959778857 42.958948778284, -78.808963858521 42.958951274897, -78.808967442674 42.958954442008, -78.808970422412 42.958958183385, -78.808972707198 42.958962385347, -78.808974227609 42.958966920222, -78.80897493745 42.958971650218, -78.808974815151 42.958976431618, -78.808973864429 42.95898111914, -78.808972114171 42.958985570357, -78.808969617557 42.958989650021, -78.808966450447 42.958993234173, -78.80896270907 42.958996213912, -78.808958507107 42.958998498697, -78.808953972233 42.959000019109, -78.808949242237 42.95900072895))",11824,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.859602151708 42.91018650661, -78.85871010622 42.910167462365, -78.856817207036 42.91014049727))",5346,477786758,140,214,143,215,Laurel Street,,12,A40,5,25,14208,14208,227.66399731415015
"MULTILINESTRING ((-78.827005187766 42.877169450143, -78.826682105381 42.877612446685))",10966,477795705,178,198,177,199,Gilbert Street,,12,A41,5,25,14206,14206,55.889864018444946
"MULTILINESTRING ((-78.833798101292 42.889705504558, -78.833789095322 42.889773514903, -78.833734174019 42.889851438574, -78.833694094241 42.889878443414, -78.83359218475 42.889909502529))",6584,477792446,,,,,Paderewski Drive,,12,A62,4,35,14212,14212,30.81784535278203
"MULTILINESTRING ((-78.90273514473 42.91518743781, -78.902667153862 42.914807462547, -78.902604926022 42.9136778142, -78.90256023566 42.912970623419))",9278,477786090,1,9,2,10,Bird Island Pier,,12,A41,5,25,14207,14207,247.02872279029154
"MULTILINESTRING ((-78.815726196727 42.911839504619, -78.814789142499 42.912210491326))",1417,477786379,1774,1798,1779,1803,Genesee Street,,12,A31,4,35,14211,14211,86.97936421912226
"MULTILINESTRING ((-78.858868159843 42.957879526839, -78.858840104425 42.95803452713, -78.858661220573 42.958674516029))",3634,477773797,624,652,621,655,Colvin Avenue,,12,A31,4,35,14216,14216,90.02485716513435
"MULTILINESTRING ((-78.799783150923 42.8747374321, -78.799681115276 42.874732449863))",851,477796407,252,252,257,257,Griswold Street,,12,A41,5,25,14206,14206,8.361877779668072
"MULTILINESTRING ((-78.872995720046 42.890102639281, -78.872353491308 42.892195165362))",7818,477792363,592,686,,,Main Street,,12,A35,3,35,14202,14203,238.50383736136749
"MULTILINESTRING ((-78.87742413877 42.883527478503, -78.877053188427 42.884691457945))",7497,477793965,76,106,77,105,Franklin Street,,12,A31,4,35,14202,14202,132.92133763986914
"MULTILINESTRING ((-78.881927139972 42.906621456937, -78.881978151568 42.908754504827))",8318,477787595,162,228,155,229,Richmond Avenue,,12,A31,4,35,14213,14222,237.19691903526851
"MULTILINESTRING ((-78.884962191539 42.902638465396, -78.884077176786 42.903035441961, -78.883782211315 42.903190514012))",7957,477788678,356,378,355,379,Jersey Street,,12,A40,5,25,14213,14213,114.38137606323315
"MULTILINESTRING ((-78.838897130206 42.950140509335, -78.837741115978 42.950125487415))",4015,477775615,930,954,931,953,Tacoma Avenue,,12,A41,5,25,14214,14214,94.429539869642753
"MULTILINESTRING ((-78.868074115488 42.944636528748, -78.868135203695 42.944635451802))",3400,477776956,,,,,Linden Avenue,,12,A41,5,25,14216,14216,4.991212277571044
"MULTILINESTRING ((-78.828946093496 42.911240435292, -78.827852190421 42.911231512157, -78.827136160855 42.911216500731, -78.825964170674 42.91121647641, -78.824270167315 42.911187445658))",5980,477786541,272,498,271,499,Box Avenue,,12,A41,5,25,14211,14211,382.20057653173126
"MULTILINESTRING ((-78.899421178631 42.960783496454, -78.900956148886 42.961917526941))",2573,477772829,200,254,193,251,Newfield Street,,12,A41,5,25,14207,14207,177.79241406799193
"MULTILINESTRING ((-78.86563214128 42.93425549593, -78.865427203654 42.934260445825, -78.865239104419 42.934254471687, -78.864823158646 42.934212443514, -78.864368136155 42.93412950758))",4679,516218728,,,,,State Route 198,198,01,A15,2,65,14216,14216,104.73284655439755
"MULTILINESTRING ((-78.857565403167 42.839001491037, -78.857506543542 42.838931599731, -78.857345943797 42.838764541678, -78.857063110763 42.838485359211, -78.856939386883 42.838328491317, -78.856828356097 42.838167386487, -78.856738768471 42.837996977578, -78.856660952052 42.837787104062, -78.856624839647 42.837685408878, -78.856585141016 42.837588597657, -78.856495433289 42.837437253621, -78.856305936436 42.837159683805, -78.856187621995 42.836985480364, -78.856056184617 42.836766934526, -78.855976574546 42.836590471046, -78.855909792426 42.836453596735, -78.855756052341 42.83614718736))",11697,800002498,,,,,Bicycle Route 517,,12,A76,4,5,14203,14203,352.5678056565792
"MULTILINESTRING ((-78.83908009305 42.940277459354, -78.838770102217 42.940268512606, -78.837979115356 42.940269504038))",4119,477777994,1764,1798,1755,1799,Amherst Street,,12,A31,4,35,14214,14214,89.953814735157536
"MULTILINESTRING ((-78.866271789491 42.85297209258, -78.866267008033 42.852971973613, -78.866262319875 42.852971026162, -78.866257867463 42.852969279015, -78.866253786083 42.852966785258, -78.866250199744 42.852963620663, -78.866247217416 42.852959881383, -78.866244929715 42.852955681036, -78.866243406152 42.852951147246, -78.86624269302 42.852946417771, -78.866242811987 42.852941636314, -78.866243759438 42.852936948155, -78.866245506585 42.852932495744, -78.866248000342 42.852928414363, -78.866251164937 42.852924828024, -78.866254904217 42.852921845696, -78.866259104564 42.852919557996, -78.866263638354 42.852918034433, -78.866268367829 42.852917321301, -78.866273149286 42.852917440268, -78.866277837445 42.852918387718, -78.866282289856 42.852920134865, -78.866286371237 42.852922628622, -78.866289957575 42.852925793218, -78.866292939903 42.852929532497, -78.866295227604 42.852933732845, -78.866296751167 42.852938266634, -78.866297464299 42.852942996109, -78.866297345332 42.852947777567, -78.866296397882 42.852952465725, -78.866294650735 42.852956918137, -78.866292156977 42.852960999517, -78.866288992382 42.852964585856, -78.866285253102 42.852967568184, -78.866281052755 42.852969855885, -78.866276518966 42.852971379447, -78.866271789491 42.85297209258))",11906,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.851903176235 42.885158463344, -78.850900153389 42.885150478384))",6739,477793384,524,550,523,549,William Street,,12,A31,4,35,14206,14206,82.011365066107118
"MULTILINESTRING ((-78.831378082957 42.890958478172, -78.830009155489 42.890965453855, -78.829292092686 42.890971468112))",6500,477792171,22,98,23,99,Newton Street,,12,A40,5,25,14212,14212,170.53753541076367
"MULTILINESTRING ((-78.814399150803 42.957214477363, -78.814253105456 42.957231506087, -78.814080112892 42.957286529161))",2326,477773949,,,,,Goodyear Road,,12,A41,5,25,14214,14214,27.470275704761136
"MULTILINESTRING ((-78.872574109543 42.883990446645, -78.872374123027 42.884601462277))",7391,477793860,204,218,201,219,Ellicott Street,5,01,A21,4,35,14203,14203,69.874485328502274
"MULTILINESTRING ((-78.88837821687 42.942393468216, -78.888384213894 42.942772499112, -78.888381188779 42.943319485397))",3296,477777486,184,298,179,299,Howell Street,,12,A41,5,25,14207,14207,102.96232680734019
"MULTILINESTRING ((-78.888177471152 42.886835256465, -78.888396615228 42.886946570549))",9238,600049288,,,,,Unnamed Street,,14,A41,5,25,14202,14202,21.775967418018364
"MULTILINESTRING ((-78.816697122096 42.856353508574, -78.815941146085 42.855785482419))",415,477799826,276,310,277,311,South Legion Drive,,12,A41,5,25,14220,14220,88.384841460284676
"MULTILINESTRING ((-78.844799205881 42.933988451868, -78.843914101694 42.934800463492))",4344,477779543,2394,2406,2385,2425,Main Street,5,01,A21,3,35,14214,14214,115.66755811366663
"MULTILINESTRING ((-78.902252159541 42.94144947301, -78.902359171424 42.94164750158, -78.902552186556 42.942048507444))",2875,477777689,102,198,103,199,Guernsey Street,,12,A40,5,25,14207,14207,70.9815568012461
"MULTILINESTRING ((-78.867935171151 42.881378490622, -78.867887158327 42.881499504818, -78.867786169414 42.881603493574, -78.867207118522 42.882009434521, -78.866585120734 42.882484443312, -78.866527194849 42.882564465041, -78.866449210918 42.882844508094))",7271,477794474,1,199,2,198,Delmar Mitchell Drive,,12,A41,5,25,14204,14204,208.81449928214016
"MULTILINESTRING ((-78.810281092766 42.939338513964, -78.810315179864 42.939384467251, -78.810571099324 42.939724470756))",1826,477778247,604,614,605,615,Suffolk Street,,12,A41,4,25,14215,14215,49.015217448146757
"MULTILINESTRING ((-78.846941146282 42.887854436594, -78.846933157758 42.88848550861, -78.846924098972 42.889634512625))",6747,477792834,158,206,157,205,Sherman Street,,12,A40,5,25,14212,14212,197.91582464193633
"MULTILINESTRING ((-78.833772188029 42.950270474129, -78.833723194493 42.950306511604, -78.833711098702 42.950354456908))",4028,477775593,76,80,77,81,Parkside Court,,12,A41,5,25,14214,14214,11.083953282696113
"MULTILINESTRING ((-78.898864199419 42.951523508003, -78.897022193129 42.950578458549))",2652,477775538,316,398,313,399,Riverside Avenue,,12,A40,5,25,14207,14207,183.50648953063993
"MULTILINESTRING ((-78.897331216015 42.955724498931, -78.897093127146 42.95560746651))",2587,477774426,6,8,5,7,North Lane,,12,A71,5,5,14207,14207,23.396632235912445
"MULTILINESTRING ((-78.849674132779 42.920200481151, -78.849640185634 42.921253439732))",5517,477784031,2,36,1,35,Pleasant Place,,12,A41,5,25,14208,14208,117.10255889633542
"MULTILINESTRING ((-78.868680142066 42.895921512114, -78.868391110363 42.89679745259))",8101,477790545,640,678,589,677,Ellicott Street,,12,A31,4,35,14203,14203,100.21440215787766
"MULTILINESTRING ((-78.888832186233 42.895989443088, -78.887721212115 42.896557461927))",9104,477790511,132,162,127,163,Hudson Street,,12,A40,5,25,14201,14201,110.61863179393933
"MULTILINESTRING ((-78.885481166708 42.878771490585, -78.885476165919 42.878709444751))",9561,477795275,,,,,Connecting Road,,12,A60,5,25,14202,14202,6.910586082386532
"MULTILINESTRING ((-78.880300203972 42.890431461381, -78.880357112568 42.890489494458, -78.880697160538 42.890848454391))",7755,477792305,62,98,61,99,Rabin Terrace,,12,A41,4,25,14201,14201,56.593085915889489
"MULTILINESTRING ((-78.819895112389 42.95654545436, -78.81914816697 42.957213460318))",2350,477774137,3464,3476,3463,3485,Main Street,5,01,A21,3,35,14214,14214,96.107192758823061
"MULTILINESTRING ((-78.811619170616 42.859908439256, -78.811590156401 42.859884466021))",614,477799372,,,,,Connecting Road,,12,A60,5,25,14210,14210,3.568669220127155
"MULTILINESTRING ((-78.879559118037 42.887239491862, -78.879386160693 42.887712475148))",7705,477792972,68,88,83,89,South Elmwood Avenue,,12,A20,3,35,14202,14202,54.455825216315887
"MULTILINESTRING ((-78.898316227967 42.949505480671, -78.897352197778 42.948996516775))",2655,477776028,124,198,123,199,Mayer Avenue,,12,A40,5,25,14207,14207,96.964907569534546
"MULTILINESTRING ((-78.895864123989 42.901712436406, -78.897355191706 42.903294429786))",9029,513530990,670,732,669,731,Busti Avenue,,12,A30,4,35,14213,14213,213.99248234505197
"MULTILINESTRING ((-78.839330627525 42.925950945387, -78.839325094112 42.926080442807))",5781,477782334,,,,,Fillmore Avenue,,12,A31,4,35,14214,14214,14.404753555421124
"MULTILINESTRING ((-78.811396087049 42.844462447457, -78.811329080825 42.844423443666, -78.811173120149 42.844384433841, -78.810351122481 42.844380498279, -78.810105186165 42.844392475957, -78.809702099123 42.844449486596, -78.809500158269 42.844490429898))",316,477801170,50,198,45,199,Oakhurst Avenue,,12,A40,5,25,14220,14220,158.59765069760621
"MULTILINESTRING ((-78.813688130372 42.918902446403, -78.813684152491 42.919629452246))",1442,477784395,2366,2394,2363,2397,Bailey Avenue,62,01,A21,3,35,14215,14215,80.828540750911316
"MULTILINESTRING ((-78.829724088205 42.867172436931, -78.829454171495 42.867581426812))",11058,477798314,56,98,57,99,Dole Street,,12,A41,5,25,14210,14210,50.546125469645602
"MULTILINESTRING ((-78.807771095435 42.922724522736, -78.806824126868 42.922733463727))",1566,477783265,1328,1350,1329,1349,East Delavan Avenue,,12,A31,4,35,14215,14215,77.380719174700332
"MULTILINESTRING ((-78.8344450921 42.906071454417, -78.83335513314 42.906059480099, -78.833264121631 42.906047495778, -78.833212109158 42.906024479594, -78.833208185487 42.906018488614))",6030,477787736,46,98,37,99,Bardol Street,,12,A41,5,25,14211,14211,102.35108115791856
"MULTILINESTRING ((-78.87120419787 42.886055484567, -78.870409109306 42.88621251108))",7405,477793180,54,76,45,73,Broadway,954L,01,A31,3,35,14203,14203,67.309361161759355
"MULTILINESTRING ((-78.820048083056 42.838837491121, -78.819387156981 42.838825447371, -78.818876174007 42.838818475857))",11491,477802012,98,128,,,Ridgewood Road,,12,A45,5,25,14220,14220,95.908265492924102
"MULTILINESTRING ((-78.853915175488 42.929566489095, -78.853622133891 42.929343442881, -78.853062187713 42.928972458467, -78.852830127727 42.928762480785))",4426,477781507,,,,,Ramp,,01,A63,4,45,14214,14214,126.14198129930868
"MULTILINESTRING ((-78.820659084496 42.863296452137, -78.820832122056 42.863131482088, -78.821048169969 42.862949497702))",11139,477799049,1,1,2,2,Pomeroy Street,,12,A41,5,25,14210,14210,50.028909269463746
"MULTILINESTRING ((-78.862199175786 42.940475515415, -78.86190217607 42.940474476071))",4627,477777933,,,,,Amherst Street,,12,A31,4,35,14216,14216,24.261199475826388
"MULTILINESTRING ((-78.886310193411 42.892631470218, -78.886994125181 42.892285432731))",9114,477791801,96,124,95,99,Virginia Street,,06,A30,3,35,14201,14201,67.870755116180945
"MULTILINESTRING ((-78.82083008967 42.909796512136, -78.820322127966 42.909996445689))",1369,477786832,1618,1636,1629,1629,Genesee Street,,12,A31,4,35,14211,14211,47.089837545062949
"MULTILINESTRING ((-78.821656110141 42.946684507941, -78.81960916312 42.946503525266))",2146,484723152,210,268,,,Minnesota Avenue,,12,A45,5,25,14215,14215,168.39388349937946
"MULTILINESTRING ((-78.867314174147 42.879109487434, -78.867133196026 42.879729485305))",10295,477795165,2,198,1,99,Elmira Place,,12,A41,5,25,14204,14204,70.503297085722807
"MULTILINESTRING ((-78.897857156673 42.926065484437, -78.897256214565 42.926009444652, -78.895922185352 42.925919506972))",9328,477782357,2,84,1,81,Bird Avenue,,12,A40,5,25,14213,14213,158.95353114066444
"MULTILINESTRING ((-78.862634103057 42.872891437851, -78.862606180821 42.872979447624))",10456,477796776,,,,,Hayward Street,,12,A41,5,25,14204,14204,10.047974920274102
"MULTILINESTRING ((-78.827283104677 42.834275495934, -78.827264191982 42.834260462386, -78.825470142583 42.8342075054, -78.824023121196 42.834185502005, -78.823931129626 42.834203435038, -78.823867095604 42.834218452126))",11770,477802582,2,98,1,99,Leland Drive,,12,A41,5,25,14220,14220,280.90930362196667
"MULTILINESTRING ((-78.823756114429 42.841281427838, -78.823764143776 42.840878508656))",11442,477801638,2110,2120,2111,2125,South Park Avenue,62,01,A21,3,35,14220,14220,44.800831465241828
"MULTILINESTRING ((-78.890571543692 42.903201898582, -78.890503257129 42.903217728316, -78.890457592867 42.903233580392, -78.890420227675 42.903257721527, -78.890402539044 42.903285478739, -78.8903792008 42.903316291407))",9060,800004082,,,,,Traffic Circle,,12,A62,5,25,14213,14213,21.375399949550918
"MULTILINESTRING ((-78.825240112933 42.903488473627, -78.825256082323 42.905360451032, -78.825255156076 42.907052468146, -78.825300149697 42.907379509594, -78.825405114999 42.907828435796, -78.825449112693 42.907947523723))",6401,477788474,2,198,1,199,Saint Louis Avenue,,12,A41,5,25,14211,14211,497.15710791796096
"MULTILINESTRING ((-78.828243147477 42.836920459635, -78.828613157443 42.836895464498, -78.828933145239 42.83689843453, -78.829125172003 42.836911451737))",11507,511997400,1,19,,,Nevilly Court West,,12,A41,5,25,14220,14220,72.364952636141112
"MULTILINESTRING ((-78.82366019778 42.85213945011, -78.82366008133 42.852252451772))",11362,477800353,,,123,129,Southside Parkway,,12,A31,4,35,14220,14220,12.563395241545024
