the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.843618153667 42.914679521766, -78.843501105611 42.914678505364))",5452,477785577,,,,,East Ferry Street,,12,A31,4,35,14214,14214,9.565824585506705
"MULTILINESTRING ((-78.814996096086 42.842782467922, -78.814976143831 42.843594467981))",279,477801393,396,422,395,423,Mckinley Parkway,,12,A31,4,35,14220,14220,90.291364481285044
"MULTILINESTRING ((-78.874906160597 42.887805447677, -78.874713179414 42.888383456079))",7361,515878125,306,328,305,327,Pearl Street,,12,A30,4,35,14202,14202,66.173101030296678
"MULTILINESTRING ((-78.824888088388 42.958146449021, -78.824884189536 42.958178452633))",2480,477773716,,,,,Larchmont Road,,03,A41,5,25,14214,14214,3.572394154312184
"MULTILINESTRING ((-78.881574201529 42.921137514928, -78.881566147377 42.92123349778))",8547,511163784,646,646,649,649,Richmond Avenue,,12,A41,4,25,14222,14222,10.692025065319001
"MULTILINESTRING ((-78.799044090367 42.947037443372, -78.799451151074 42.948303525067, -78.799467121591 42.948431477575, -78.799460137936 42.948831475749))",1653,477776410,98,198,99,199,Croy Avenue,,12,A41,5,25,14215,14215,203.39423024285034
"MULTILINESTRING ((-78.810460087199 42.933084490208, -78.810570119231 42.933080462054))",1887,477779826,,,,,State Route 33,33,01,A15,2,65,14215,14215,9.000088888450101
"MULTILINESTRING ((-78.811772145627 42.873374468535, -78.810713183424 42.873359440259))",703,477796684,20,48,19,47,Rejtan Street,,12,A41,5,25,14206,14206,86.610582494390371
"MULTILINESTRING ((-78.881007163593 42.881742450191, -78.880102617902 42.881040954162))",7604,477828330,2,80,1,79,Bingham Street,,12,A41,5,25,14202,14202,107.48669443212593
"MULTILINESTRING ((-78.800216121174 42.866006453799, -78.800179102094 42.866027492693, -78.800159094453 42.866050487193, -78.800138087531 42.866256472367, -78.800132072069 42.867242499654))",562,477798570,2,94,1,93,South Pierce Street,,12,A41,5,25,14206,14206,139.45140122496582
"MULTILINESTRING ((-78.900534123188 42.953194512855, -78.899972146057 42.952923502306, -78.898877174333 42.952370490056))",2689,477775083,262,308,265,311,Crowley Avenue,,12,A40,5,25,14207,14207,163.43263550102938
"MULTILINESTRING ((-78.891023178622 42.947496505436, -78.890978184481 42.947863496211, -78.890665213958 42.949838481119))",2936,477776337,392,458,,,Military Road,265,01,A35,4,35,14207,14207,262.04060306048558
"MULTILINESTRING ((-78.806781113565 42.871854448126, -78.806703181934 42.874838471607))",682,477797062,254,398,253,399,Cable Street,,12,A40,5,25,14206,14206,331.81885690922172
"MULTILINESTRING ((-78.802703141506 42.913648523305, -78.802695078786 42.913919444784, -78.802601129045 42.916935500475, -78.802626086957 42.917032451137, -78.802657160093 42.917077516754))",1264,477785931,2,198,1,199,Crossman Avenue,,12,A41,5,25,14211,14211,382.12271209907902
"MULTILINESTRING ((-78.845537164259 42.870820451009, -78.84539409386 42.870781505182))",10720,477797304,,,,,Interstate 190 Southbound,190,06,A15,1,65,14210,14210,12.475564115623985
"MULTILINESTRING ((-78.830094113251 42.868024494537, -78.829850126871 42.867982427236, -78.829543111279 42.867946432409, -78.829087187183 42.867905430099))",11052,477798130,,,,,Interstate 190 Southbound,190,06,A15,1,65,14210,14210,83.482843187041112
"MULTILINESTRING ((-78.823958144299 42.868904462283, -78.824029120522 42.868876427408, -78.824138195952 42.868791474645, -78.82427819607 42.868638499105))",11081,477797874,44,50,43,49,Buffalo China Road,,12,A41,5,25,14210,14210,40.082048537022018
"MULTILINESTRING ((-78.887554747858 42.884120302057, -78.887549966375 42.884120185061, -78.887545277849 42.884119239547, -78.88754082474 42.884117494243, -78.887536742352 42.88411500218, -78.887533154726 42.884111839078, -78.887530170872 42.884108101046, -78.887527881452 42.884103901662, -78.887526356028 42.884099368523, -78.887525640951 42.884094639365, -78.887525757947 42.884089857882, -78.887526703461 42.884085169356, -78.887528448764 42.884080716247, -78.887530940827 42.884076633859, -78.887534103929 42.884073046233, -78.887537841961 42.884070062379, -78.887542041345 42.884067772959, -78.887546574484 42.884066247535, -78.887551303642 42.884065532458, -78.887556085125 42.884065649454, -78.887560773651 42.884066594968, -78.887565226761 42.884068340271, -78.887569309149 42.884070832334, -78.887572896774 42.884073995436, -78.887575880628 42.884077733468, -78.887578170048 42.884081932852, -78.887579695472 42.884086465992, -78.887580410549 42.884091195149, -78.887580293554 42.884095976633, -78.88757934804 42.884100665158, -78.887577602736 42.884105118268, -78.887575110673 42.884109200656, -78.887571947571 42.884112788281, -78.887568209539 42.884115772135, -78.887564010155 42.884118061555, -78.887559477016 42.884119586979, -78.887554747858 42.884120302057))",11985,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.843825202199 42.868087485022, -78.84378412937 42.868080492483))",10620,477798061,,,,,Elk Street,,12,A31,4,35,14210,14210,3.447796397822502
